Donor,CAR,EffectorTargetRatio,MFI_FSC-A,MFI_SSC-A,MFI_CD5,MFI_CD39,MFI_CD27,MFI_CTLA-4(CD152),MFI_CD4,MFI_CCR5,MFI_CD49d,MFI_CD134,MFI_CD25,MFI_CD197,MFI_CD183,MFI_CD44,MFI_CD69,MFI_CCR4,MFI_CD11a,MFI_CD3,MFI_CD45RO,MFI_PD-1,MFI_CD28,MFI_CD278,MFI_TIM-3,MFI_CD7,MFI_CD137,MFI_CD45RA,MFI_CD45,MFI_CD95,MFI_LAG3,MFI_CD161,MFI_HLA-DR,MFI_CD2,MFI_CD8
A,None,1,236.44684984734943,195.0707743547044,255.729392173189,295.97030252567305,268.4499028587288,520.5850679988898,286.88703857896195,695.9522620038856,500.34165972800446,375.4118789897308,200.16680543991117,267.458784346378,279.29364418540104,256.84318623369415,275.12461837357756,292.78823202886485,279.34915348320845,521.8281987232862,210.69747432694976,260.74604496253124,270.022481265612,291.96586178184845,258.11268387454896,274.8176519567028,298.3269497640855,293.7429919511518,231.0269220094366,384.2589508742714,482.88731612545104,261.58839855675825,640.0277546489037,284.9633638634471,245.1495975575909
A,None,2,230.2972791400739,194.64544843802486,257.7596573731945,292.38495129324826,265.75361101780317,505.1753443063487,283.3342290896876,689.7910648303662,520.8501847497481,392.572556264696,214.9145112529392,267.80265367819953,276.5263688276789,258.5908632851864,274.2591535102452,296.9261001007726,272.68693315418204,508.35656701377223,209.79123278468256,259.8417870339268,263.98723547195164,282.55660060463555,262.0399731273094,269.8562311051394,288.2945918710111,290.34010749076253,229.94642257306012,418.0399731273094,483.3522002015452,257.70305676855895,661.4610345985892,290.06852536110176,246.89418878065166
B,19_28z,0.2,403.138463271744,253.23614240648942,619.8596214511041,564.5819062640829,326.9633844073907,398.14049121225776,498.08810274898605,555.7596890491212,543.8483551149167,234.89961694456963,628.2350157728706,343.99763406940065,394.795853988283,667.7214961694457,292.6768814781433,310.9870437133844,657.7657728706624,557.8062190175755,618.0335736818387,410.840806669671,424.0687246507436,626.6891617845877,470.9470482199189,466.7696034249662,296.21698963497073,386.90232086525464,437.9248535376296,680.2130464173051,649.4310500225326,240.71507435781885,668.9576385759351,548.8900405588103,491.10500225326723
B,19_28z,0.5,399.5982473749228,230.19166924027178,630.253204138357,524.7906500926498,308.89843267449044,361.69738264360717,502.65484095120445,476.5514978381717,538.8638048177887,221.07778721432985,657.4332149474984,317.3518375540457,387.93367819641753,663.1679663372452,255.1278567016677,310.82072266831375,664.0679431747992,545.8820259419394,639.5224289684991,379.7168777022854,422.0421556516368,640.5518838789376,446.8928736874614,483.57415843113034,280.0276791229154,346.9650633106856,437.10071803582457,710.5589870290303,647.6831763434219,251.7512353304509,638.0631176652255,479.7046016059296,507.8023471278567
B,19_28z,1,344.7492882899981,183.4374644144999,611.9398367811729,487.81685329284494,348.4922186373126,363.83469349022585,459.81002087682674,433.7956917821218,534.158379199089,199.86240273296642,611.0102486240273,313.1648320364396,376.2414120326438,631.9818751186183,261.8847029796925,285.1508825204024,657.3087872461567,554.7828810020877,613.202125640539,342.7715885367242,395.6957676978554,593.5799013095464,415.1727082937939,499.2430252419814,295.9799772252799,342.45834124122223,468.900740178402,652.6579996204214,617.539001708104,204.1338014803568,650.5504839628013,492.27585879673563,530.9665021825773
B,19_28z,2,310.51538622566466,171.3561335566255,603.2236236131463,459.280929453632,376.98189240108854,328.9920452166632,425.2143081431861,365.8912497383295,532.5336508268788,239.8184006698765,542.3507431442328,313.73042704626334,346.91328239480845,584.5716453841324,260.80584048566044,306.0877119531086,629.5025120368432,570.3951224617961,619.2068243667574,328.3255704416998,426.1866234038099,546.877381201591,416.0861419300816,496.4048566045635,284.0297781034122,327.72896169143814,451.94656688298096,658.0074314423279,561.08546158677,212.9983253087712,603.8860686623403,431.7337240946201,525.6763659200335
B,19_BBz,0.2,396.8182427002411,241.51861773372622,607.699973211894,566.0229038306992,316.8481114385213,442.3392713635146,513.8313688722208,611.5782212697562,517.2992231449236,241.20144655772836,604.5176801500133,370.1222877042593,409.7018483793196,651.1074203053844,327.439057058666,283.88641843021696,641.7175194213769,557.9836592552906,618.5566568443611,379.8988748995446,497.88829359764264,598.7322528797214,431.9407982855612,424.67211358156976,321.16555049557996,376.1277792660059,443.8392713635146,662.3588266809537,679.8227966782748,221.94709349049023,706.1076881864452,493.4010179480311,489.52303777122955
B,19_BBz,0.5,403.1165447521986,218.16026958165529,625.2766088600313,570.1935152461576,313.56661461329827,381.34918221418593,470.2611983233336,507.8138407166927,503.01668447439795,243.2826086956522,639.6670913125668,335.55169721377496,393.64403714966716,660.1754746445303,280.9282896359004,273.28252650612313,671.9047423358264,544.5116298183611,658.1526259554532,322.81836114079067,502.9624804799868,619.4490424919866,437.84330566285854,461.866031067642,285.24767814580423,325.93507027204737,425.7811703788937,711.8677981425167,660.5443412509246,217.22224048656201,677.1488863318813,440.03776608860034,557.2833894961782
B,19_BBz,1,369.42998474954055,189.57959566730537,604.533414147734,542.2106127556407,313.49274625581666,348.92480350369533,430.64153599499474,427.0906424744848,470.982520627224,265.41774527822315,595.8083134555977,309.7669416963203,356.2696985101474,610.766198725218,267.6313299182732,279.3540452821335,643.807844210691,526.2760724201306,636.6331286904157,297.44371016306263,469.2720447346811,565.3714855511672,453.685293082548,475.1288468306417,264.14933719156926,305.60630352324716,452.25835842490125,688.4150862237516,597.9476400891565,190.93583075900364,656.4392523364486,430.02271927423453,559.2051382317288
B,19_BBz,2,310.01955216237604,181.9949723011033,599.6985708300358,533.7849262138634,321.2544108747265,347.3472370932452,429.90763930915693,422.33601787626276,455.62943997020625,267.7135608211908,569.0837949816116,316.1458963735394,361.8050370094502,595.4519342674922,267.3282435640799,300.4496066291141,637.3751687537824,540.5796750616825,647.4378287789209,311.8588520087519,489.9616405195289,547.8246357245938,462.94357804571484,496.16307434476977,251.85014664121783,293.71649364554725,473.060797914436,684.7728224942973,589.6759927377683,175.66337693775895,647.8765420604254,420.4532842977515,546.101717797123
